ID da Venda,Data da Venda,ID do Item,Quantidade Vendida,Preço Unitário da Venda,Canal de Venda,Total da Venda (R$)
82,2026-05-01 11:47:08.770100,191,12,89.45,Loja Física,1073.4
83,2026-02-28 11:47:08.770105,200,12,46.68,Online,560.16
84,2026-03-15 11:47:08.770109,157,3,198.01,Telemarketing,594.03
85,2026-04-19 11:47:08.770113,104,2,17.92,Loja Física,35.84
86,2026-03-19 11:47:08.770118,141,5,139.69,Online,698.45
87,2026-04-16 11:47:08.770122,114,1,164.53,Loja Física,164.53
88,2026-02-25 11:47:08.770126,124,12,107.64,Online,1291.68
89,2026-04-14 11:47:08.770131,143,13,72.65,Online,944.45
90,2026-05-12 11:47:08.770135,199,8,9.83,Loja Física,78.64
91,2026-05-04 11:47:08.770139,148,15,118.98,Loja Física,1784.7
92,2026-05-09 11:47:08.770143,124,14,165.03,Loja Física,2310.42
93,2026-03-14 11:47:08.770148,102,1,44.3,Telemarketing,44.3
94,2026-03-27 11:47:08.770152,192,2,27.99,Online,55.98
95,2026-03-24 11:47:08.770156,154,7,121.41,Loja Física,849.87
96,2026-03-05 11:47:08.770160,149,12,107.95,Loja Física,1295.4
97,2026-05-13 11:47:08.770165,185,12,27.13,Loja Física,325.56
98,2026-04-01 11:47:08.770169,107,15,116.3,Online,1744.5
99,2026-03-08 11:47:08.770173,175,18,128.36,Loja Física,2310.4800000000005
100,2026-04-04 11:47:08.770178,136,18,40.64,Telemarketing,731.52
101,2026-02-19 11:47:08.770182,154,10,133.82,Telemarketing,1338.1999999999998
102,2026-04-22 11:47:08.770186,140,12,148.11,Online,1777.3200000000002
103,2026-02-22 11:47:08.770191,109,13,41.82,Online,543.66
104,2026-02-21 11:47:08.770195,110,16,49.3,Loja Física,788.8
105,2026-04-23 11:47:08.770200,175,14,151.12,Telemarketing,2115.6800000000003
106,2026-04-19 11:47:08.770205,173,2,19.24,Telemarketing,38.48
107,2026-04-24 11:47:08.770209,142,14,84.21,Telemarketing,1178.9399999999998
108,2026-04-11 11:47:08.770213,135,18,162.04,Online,2916.72
109,2026-04-29 11:47:08.770218,162,2,65.0,Telemarketing,130.0
110,2026-04-22 11:47:08.770222,175,9,25.34,Telemarketing,228.06
111,2026-02-20 11:47:08.770227,125,4,77.58,Telemarketing,310.32
112,2026-04-24 11:47:08.770231,141,11,94.88,Online,1043.6799999999998
113,2026-04-07 11:47:08.770235,169,19,43.76,Loja Física,831.4399999999999
114,2026-02-18 11:47:08.770240,172,3,2.88,Telemarketing,8.64
115,2026-03-06 11:47:08.770244,111,4,73.53,Loja Física,294.12
116,2026-03-05 11:47:08.770248,194,18,26.8,Loja Física,482.40000000000003
117,2026-03-19 11:47:08.770253,146,5,33.07,Online,165.35
118,2026-03-31 11:47:08.770257,119,17,156.87,Online,2666.79
119,2026-03-09 11:47:08.770261,111,11,88.41,Online,972.51
120,2026-04-19 11:47:08.770266,125,3,51.24,Loja Física,153.72
121,2026-02-21 11:47:08.770270,172,19,56.64,Telemarketing,1076.16
122,2026-04-23 11:47:08.770275,179,19,129.78,Loja Física,2465.82
123,2026-02-20 11:47:08.770279,141,18,184.69,Loja Física,3324.42
124,2026-04-23 11:47:08.770283,175,18,199.29,Telemarketing,3587.22
125,2026-03-27 11:47:08.770288,174,12,96.86,Online,1162.32
126,2026-03-10 11:47:08.770292,149,2,115.82,Loja Física,231.64
127,2026-04-05 11:47:08.770296,179,14,7.56,Telemarketing,105.83999999999999
128,2026-04-13 11:47:08.770300,114,6,196.96,Online,1181.76
129,2026-02-25 11:47:08.770305,172,10,198.3,Online,1983.0
130,2026-03-26 11:47:08.770309,106,15,48.58,Loja Física,728.6999999999999
131,2026-03-28 11:47:08.770314,171,9,135.83,Loja Física,1222.47
132,2026-04-21 11:47:08.770318,178,19,147.76,Telemarketing,2807.4399999999996
133,2026-03-18 11:47:08.770322,110,18,139.76,Telemarketing,2515.68
134,2026-04-14 11:47:08.770326,154,12,111.73,Online,1340.76
135,2026-04-17 11:47:08.770331,127,7,98.48,Online,689.36
136,2026-04-27 11:47:08.770335,124,2,87.24,Online,174.48
137,2026-03-25 11:47:08.770339,107,9,115.19,Telemarketing,1036.71
138,2026-05-12 11:47:08.770344,166,5,140.04,Telemarketing,700.1999999999999
139,2026-05-01 11:47:08.770348,117,5,154.1,Telemarketing,770.5
140,2026-04-27 11:47:08.770352,123,11,130.35,Loja Física,1433.85
141,2026-04-21 11:47:08.770357,134,11,37.76,Loja Física,415.35999999999996
142,2026-04-03 11:47:08.770361,149,19,168.69,Loja Física,3205.11
143,2026-04-24 11:47:08.770365,133,18,64.68,Online,1164.2400000000002
144,2026-04-14 11:47:08.770370,137,13,56.58,Loja Física,735.54
145,2026-04-04 11:47:08.770374,182,9,57.4,Loja Física,516.6
146,2026-04-13 11:47:08.770378,135,4,101.34,Telemarketing,405.36
147,2026-04-24 11:47:08.770382,170,13,141.29,Telemarketing,1836.77
148,2026-02-27 11:47:08.770387,126,15,153.23,Telemarketing,2298.45
149,2026-03-05 11:47:08.770391,139,19,141.91,Loja Física,2696.29
150,2026-05-14 11:47:08.770396,196,9,10.06,Loja Física,90.54
151,2026-04-01 11:47:08.770400,166,4,71.93,Online,287.72
152,2026-03-27 11:47:08.770404,178,6,140.77,Online,844.6200000000001
153,2026-04-25 11:47:08.770409,147,9,112.01,Online,1008.09
154,2026-03-05 11:47:08.770413,155,4,189.07,Online,756.28
155,2026-05-05 11:47:08.770425,123,8,133.29,Loja Física,1066.32
156,2026-03-01 11:47:08.770429,101,2,185.33,Online,370.66
157,2026-04-07 11:47:08.770433,131,13,56.12,Telemarketing,729.56
158,2026-03-18 11:47:08.770438,195,11,154.5,Loja Física,1699.5
159,2026-04-19 11:47:08.770442,194,16,28.03,Loja Física,448.48
160,2026-02-21 11:47:08.770446,107,15,138.6,Online,2079.0
161,2026-04-02 11:47:08.770451,188,14,126.72,Telemarketing,1774.08
162,2026-03-22 11:47:08.770455,171,6,133.77,Online,802.6200000000001
163,2026-05-11 11:47:08.770459,173,3,168.05,Loja Física,504.15000000000003
164,2026-04-17 11:47:08.770464,142,9,99.48,Online,895.32
165,2026-03-07 11:47:08.770468,182,14,137.68,Loja Física,1927.52
166,2026-04-21 11:47:08.770472,151,18,57.58,Telemarketing,1036.44
167,2026-04-24 11:47:08.770477,184,2,96.49,Online,192.98
168,2026-05-16 11:47:08.770481,104,1,177.95,Loja Física,177.95
169,2026-05-08 11:47:08.770485,152,10,138.27,Online,1382.7
170,2026-04-04 11:47:08.770489,190,13,20.17,Telemarketing,262.21000000000004
171,2026-04-22 11:47:08.770494,153,1,21.16,Telemarketing,21.16
172,2026-04-06 11:47:08.770502,190,4,93.95,Online,375.8
173,2026-05-11 11:47:08.770507,199,5,172.45,Telemarketing,862.25
174,2026-04-04 11:47:08.770511,130,11,107.98,Loja Física,1187.78
175,2026-04-28 11:47:08.770516,145,12,120.0,Loja Física,1440.0
176,2026-02-26 11:47:08.770520,198,4,126.27,Online,505.08
177,2026-04-14 11:47:08.770524,180,19,32.95,Telemarketing,626.0500000000001
178,2026-04-22 11:47:08.770529,110,13,163.78,Loja Física,2129.14
179,2026-04-24 11:47:08.770533,146,17,100.27,Telemarketing,1704.59
180,2026-04-07 11:47:08.770537,150,2,16.81,Telemarketing,33.62
181,2026-04-19 11:47:08.770541,137,11,106.2,Online,1168.2
182,2026-04-16 11:47:08.770546,144,15,23.5,Loja Física,352.5
183,2026-04-16 11:47:08.770550,130,11,147.54,Loja Física,1622.9399999999998
184,2026-04-20 11:47:08.770554,175,14,83.59,Telemarketing,1170.26
185,2026-03-28 11:47:08.770558,188,4,65.26,Online,261.04
186,2026-05-01 11:47:08.770563,152,6,29.32,Telemarketing,175.92000000000002
187,2026-03-18 11:47:08.770567,119,4,174.39,Online,697.56
188,2026-03-28 11:47:08.770571,195,16,12.33,Telemarketing,197.28
189,2026-05-11 11:47:08.770576,131,3,126.64,Telemarketing,379.92
190,2026-04-08 11:47:08.770580,198,16,137.94,Online,2207.04
191,2026-03-10 11:47:08.770584,177,6,193.51,Online,1161.06
192,2026-05-08 11:47:08.770588,184,8,70.74,Online,565.92
193,2026-04-11 11:47:08.770593,104,17,130.17,Telemarketing,2212.89
194,2026-03-17 11:47:08.770597,150,8,47.41,Telemarketing,379.28
195,2026-03-08 11:47:08.770601,173,1,59.54,Online,59.54
196,2026-02-26 11:47:08.770605,104,19,161.11,Telemarketing,3061.09
197,2026-04-11 11:47:08.770610,113,8,107.99,Telemarketing,863.92
198,2026-04-25 11:47:08.770614,194,15,2.63,Telemarketing,39.449999999999996
199,2026-02-22 11:47:08.770618,133,11,112.19,Loja Física,1234.09
200,2026-04-19 11:47:08.770623,160,11,115.86,Online,1274.46
