ID do Item,Nome do Item,Categoria,Quantidade em Estoque,Preço Unitário (R$),Data da Última Entrada,Fornecedor,Localização
140,Item 040,Papelaria,138,75.57,2026-04-20 11:43:51.368457,Fornecedor D,E7
141,Item 041,Papelaria,145,71.57,2026-01-27 11:43:51.368461,Fornecedor A,A3
142,Item 042,Papelaria,481,9.7,2026-03-18 11:43:51.368466,Fornecedor D,A1
143,Item 043,Informática,72,152.59,2026-03-31 11:43:51.368470,Fornecedor D,A4
144,Item 044,Informática,148,125.92,2025-12-22 11:43:51.368475,Fornecedor D,A6
145,Item 045,Informática,90,13.34,2026-05-14 11:43:51.368479,Fornecedor A,E3
146,Item 046,Informática,401,70.02,2026-04-13 11:43:51.368484,Fornecedor C,A4
147,Item 047,Informática,172,227.11,2026-03-30 11:43:51.368488,Fornecedor D,D9
148,Item 048,Papelaria,428,60.27,2026-05-01 11:43:51.368493,Fornecedor B,C9
149,Item 049,Informática,298,36.65,2025-11-27 11:43:51.368497,Fornecedor A,D4
150,Item 050,Informática,388,122.62,2025-12-11 11:43:51.368502,Fornecedor D,C5
151,Item 051,Papelaria,270,246.42,2026-04-02 11:43:51.368506,Fornecedor D,E3
152,Item 052,Informática,499,60.89,2026-01-21 11:43:51.368511,Fornecedor B,D9
153,Item 053,Papelaria,240,168.2,2026-05-12 11:43:51.368515,Fornecedor C,D5
154,Item 054,Informática,50,190.52,2026-02-08 11:43:51.368521,Fornecedor C,D5
155,Item 055,Papelaria,37,59.79,2026-01-14 11:43:51.368527,Fornecedor C,A7
156,Item 056,Informática,144,182.19,2026-04-11 11:43:51.368531,Fornecedor D,E5
157,Item 057,Informática,210,92.26,2026-04-24 11:43:51.368536,Fornecedor D,B7
158,Item 058,Papelaria,337,158.26,2026-02-14 11:43:51.368540,Fornecedor D,B5
159,Item 059,Papelaria,277,158.57,2026-04-02 11:43:51.368545,Fornecedor A,C7
160,Item 060,Papelaria,427,134.18,2026-02-12 11:43:51.368549,Fornecedor B,E2
161,Item 061,Papelaria,42,23.03,2026-02-08 11:43:51.368554,Fornecedor D,D9
162,Item 062,Papelaria,57,208.91,2026-01-22 11:43:51.368558,Fornecedor B,B1
163,Item 063,Papelaria,416,80.53,2025-12-09 11:43:51.368563,Fornecedor B,E6
164,Item 064,Papelaria,71,47.04,2025-12-08 11:43:51.368567,Fornecedor C,E8
165,Item 065,Papelaria,225,10.67,2026-03-12 11:43:51.368571,Fornecedor A,B9
166,Item 066,Informática,302,147.93,2026-01-10 11:43:51.368576,Fornecedor D,B2
167,Item 067,Informática,108,169.55,2026-04-30 11:43:51.368581,Fornecedor C,E5
168,Item 068,Papelaria,181,4.64,2026-04-23 11:43:51.368585,Fornecedor C,C8
169,Item 069,Informática,369,128.27,2026-03-25 11:43:51.368590,Fornecedor D,E1
170,Item 070,Informática,223,57.01,2026-03-21 11:43:51.368594,Fornecedor B,D1
171,Item 071,Informática,484,161.47,2026-03-12 11:43:51.368599,Fornecedor C,A4
172,Item 072,Informática,44,44.0,2026-02-03 11:43:51.368603,Fornecedor B,D6
173,Item 073,Papelaria,458,172.89,2025-11-25 11:43:51.368607,Fornecedor A,D3
174,Item 074,Informática,236,96.99,2026-04-24 11:43:51.368612,Fornecedor B,E6
175,Item 075,Papelaria,110,234.21,2026-01-24 11:43:51.368617,Fornecedor A,C3
176,Item 076,Informática,440,34.81,2026-04-16 11:43:51.368621,Fornecedor B,C2
177,Item 077,Informática,471,85.6,2025-11-24 11:43:51.368626,Fornecedor C,D4
178,Item 078,Informática,140,28.81,2026-02-21 11:43:51.368631,Fornecedor C,D8
179,Item 079,Papelaria,266,231.21,2025-12-18 11:43:51.368636,Fornecedor A,E9
180,Item 080,Informática,14,219.4,2026-01-11 11:43:51.368640,Fornecedor D,A3
181,Item 081,Papelaria,227,64.86,2025-12-14 11:43:51.368645,Fornecedor A,E9
182,Item 082,Informática,264,165.17,2026-01-08 11:43:51.368649,Fornecedor A,D1
183,Item 083,Papelaria,407,204.4,2026-05-01 11:43:51.368654,Fornecedor B,A8
184,Item 084,Informática,368,139.02,2026-02-03 11:43:51.368659,Fornecedor B,A6
185,Item 085,Papelaria,292,132.65,2025-12-08 11:43:51.368663,Fornecedor A,E6
186,Item 086,Papelaria,402,60.84,2026-01-01 11:43:51.368667,Fornecedor C,B5
187,Item 087,Informática,216,23.73,2026-04-05 11:43:51.368672,Fornecedor B,E5
188,Item 088,Papelaria,24,224.36,2025-11-23 11:43:51.368676,Fornecedor D,D3
189,Item 089,Informática,355,225.15,2026-04-09 11:43:51.368680,Fornecedor B,C4
190,Item 090,Informática,51,158.46,2025-11-29 11:43:51.368685,Fornecedor B,A2
191,Item 091,Informática,389,85.09,2026-04-22 11:43:51.368689,Fornecedor D,A1
192,Item 092,Informática,470,87.63,2026-02-08 11:43:51.368693,Fornecedor A,A5
193,Item 093,Informática,188,181.63,2026-03-29 11:43:51.368698,Fornecedor D,C7
194,Item 094,Informática,72,224.33,2025-12-16 11:43:51.368703,Fornecedor A,A8
195,Item 095,Informática,361,221.83,2025-12-17 11:43:51.368708,Fornecedor A,D8
196,Item 096,Informática,240,195.08,2026-05-05 11:43:51.368712,Fornecedor A,D5
197,Item 097,Informática,250,160.69,2026-03-19 11:43:51.368717,Fornecedor D,B4
198,Item 098,Informática,61,21.49,2026-01-03 11:43:51.368721,Fornecedor A,B8
199,Item 099,Informática,105,40.83,2026-03-22 11:43:51.368726,Fornecedor C,B2
200,Item 100,Papelaria,397,224.69,2026-04-12 11:43:51.368731,Fornecedor D,D5
